Station,Zip,Location,ann-tmin-prbfst-t24Fp50.txt,ann-tmin-prbfst-t24Fp60.txt,ann-tmin-prbfst-t24Fp70.txt,ann-tmin-prbfst-t24Fp80.txt,ann-tmin-prbfst-t24Fp90.txt,ann-tmin-prbfst-t28Fp50.txt,ann-tmin-prbfst-t28Fp60.txt,ann-tmin-prbfst-t28Fp70.txt,ann-tmin-prbfst-t28Fp80.txt,ann-tmin-prbfst-t28Fp90.txt,ann-tmin-prbfst-t32Fp50.txt,ann-tmin-prbfst-t32Fp60.txt,ann-tmin-prbfst-t32Fp70.txt,ann-tmin-prbfst-t32Fp80.txt,ann-tmin-prbfst-t32Fp90.txt,ann-tmin-prblst-t24Fp50.txt,ann-tmin-prblst-t24Fp60.txt,ann-tmin-prblst-t24Fp70.txt,ann-tmin-prblst-t24Fp80.txt,ann-tmin-prblst-t24Fp90.txt,ann-tmin-prblst-t28Fp50.txt,ann-tmin-prblst-t28Fp60.txt,ann-tmin-prblst-t28Fp70.txt,ann-tmin-prblst-t28Fp80.txt,ann-tmin-prblst-t28Fp90.txt,ann-tmin-prblst-t32Fp50.txt,ann-tmin-prblst-t32Fp60.txt,ann-tmin-prblst-t32Fp70.txt,ann-tmin-prblst-t32Fp80.txt,ann-tmin-prblst-t32Fp90.txt
RQC00666992,00718,Naguabo,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666
RQC00667292,00795,Juana Diaz,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666
RQC00668306,00925,San Juan,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666
RQC00668881,00685,San Sebastian,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666
RQC00669521,00976,Trujillo Alto,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666
RQC00669608,00641,Utuado,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666
RQW00011603,00603,Aguadilla,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666
RQW00011630,00735,Ceiba,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666
RQW00011641,00979,Carolina,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666
USC00010160,35010,Alexander City,12/08S,12/13S,12/20S,12/27S,01/04S,11/24S,11/29S,12/02S,12/06S,12/15S,11/08S,11/12S,11/16S,11/21S,12/01S,02/23S,02/19S,02/13S,02/06S,01/31S,03/12S,03/08S,03/02S,02/26S,02/19S,03/30S,03/26S,03/22S,03/16S,03/08S
USC00010252,36420,Andalusia,12/02S,12/05S,12/10S,12/17S,12/30S,11/15S,11/19S,11/25S,12/01S,12/06S,11/01S,11/04S,11/08S,11/13S,11/21S,03/02S,02/27S,02/21S,02/13S,02/02S,03/22S,03/17S,03/11S,03/03S,02/25S,04/04S,03/31S,03/28S,03/23S,03/15S
USC00010369,36251,Ashland,11/28S,12/01S,12/04S,12/10S,12/19S,11/12S,11/16S,11/20S,11/26S,12/02S,10/30S,11/02S,11/05S,11/09S,11/16S,03/08S,03/03S,02/27S,02/22S,02/14S,03/26S,03/22S,03/17S,03/11S,03/02S,04/08S,04/05S,04/02S,03/29S,03/22S
USC00010390,35611,Athens,12/02R,12/05R,12/09R,12/16R,12/24R,11/16R,11/20R,11/26R,12/01R,12/05R,11/03R,11/06R,11/09R,11/14R,11/20R,03/03R,02/28R,02/23R,02/17R,02/09R,03/20R,03/16R,03/12R,03/07R,02/28R,04/02R,03/31R,03/27R,03/23R,03/17R
USC00010402,36502,Atmore,12/24S,12/29S,01/03S,01/12S,01/26S,12/07S,12/12S,12/18S,12/26S,01/04S,11/23S,11/27S,12/01S,12/05S,12/13S,02/05S,02/01S,01/27S,01/17S,01/03S,02/21S,02/17S,02/12S,02/05S,01/29S,03/07S,03/03S,02/27S,02/22S,02/16S
USC00010425,36830,Auburn,12/16R,12/21R,12/27R,01/01R,01/10R,12/03R,12/06R,12/10R,12/15R,12/25R,11/19R,11/23R,11/27R,12/01R,12/06R,02/15R,02/09R,02/03R,01/29R,01/20R,03/05R,03/01R,02/24R,02/17R,02/07R,03/21R,03/17R,03/12R,03/06R,02/27R
USC00010430,36832,Auburn,12/16R,12/21R,12/26R,01/01R,01/10R,12/03R,12/06R,12/10R,12/16R,12/24R,11/21R,11/25R,11/29R,12/02R,12/07R,02/14R,02/08R,02/03R,01/30R,01/18R,03/01R,02/25R,02/20R,02/15R,02/07R,03/17R,03/13R,03/08R,03/04R,02/26R
